TransactionID,Product
160698,"['ketchups', 'sauces', 'adjika', 'pasta', 'tea']"
160747,"['pasta', 'honey', 'tea']"
161217,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
161243,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
161354,"['ketchups', 'sauces', 'adjika', 'pasta', 'tea']"
161833,"['pasta', 'honey', 'tea']"
162185,"['ketchups', 'sauces', 'adjika', 'pasta', 'tea']"
162579,"['cheeses', 'honey', 'tea']"
162661,"['waffles', 'cheeses', 'tea']"
162718,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
162788,"['waffles', 'ketchups', 'sauces', 'adjika', 'tea']"
162915,"['waffles', 'crackers', 'tea']"
163029,"['ketchups', 'sauces', 'adjika', 'honey', 'tea']"
163261,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
163331,"['tea', 'honey', 'cheeses']"
163439,"['honey', 'crackers', 'tea']"
164014,"['ketchups', 'sauces', 'adjika', 'pasta', 'tea']"
164078,"['ketchups', 'sauces', 'adjika', 'pasta', 'tea']"
164079,"['waffles', 'crackers', 'tea']"
164110,"['ketchups', 'sauces', 'adjika', 'cheeses', 'tea']"
164200,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
164453,"['waffles', 'honey', 'tea']"
165325,"['waffles', 'crackers', 'tea']"
165417,"['waffles', 'pasta', 'crackers']"
165698,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey']"
166110,"['crackers', 'honey', 'tea']"
166881,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey']"
166966,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses']"
167022,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey']"
167381,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey']"
167514,"['waffles', 'tea', 'crackers']"
160227,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey', 'tea']"
160487,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey', 'tea']"
163213,"['ketchups', 'sauces', 'adjika', 'pasta', 'cheeses', 'tea']"
163346,"['tea', 'pasta', 'crackers', 'cheeses']"
163741,"['waffles', 'crackers', 'cheeses', 'tea']"
164085,"['honey', 'crackers', 'cheeses', 'tea']"
164418,"['waffles', 'honey', 'cheeses', 'tea']"
166691,"['waffles', 'honey', 'crackers', 'tea']"
167414,"['tea', 'waffles', 'honey', 'crackers']"
161872,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey', 'cheeses', 'tea']"
165165,"['waffles', 'honey', 'crackers', 'cheeses', 'tea']"
166474,"['ketchups', 'sauces', 'adjika', 'pasta', 'honey', 'cheeses', 'tea']"
167465,"['waffles', 'cheeses', 'honey', 'crackers', 'tea']"
